GeneId,GeneSym,mRNA concentrationa in AU/µg DCW at µ=0.10 h-1,mRNA concentrationa in AU/µg DCW at µ=0.20 h-1,mRNA concentrationa in AU/µg DCW at µ=0.40 h-1,mRNA concentrationa in AU/µg DCW at µ=0.63 h-1,mRNA half-lifea in min at µ=0.10 h-1,mRNA half-lifea in min at µ=0.20 h-1,mRNA half-lifea in min at µ=0.40 h-1,mRNA half-lifea in min at µ=0.63 h-1,Gene in Operonb?,Number of genes in operonb,Position in operonb,Gene is essentialc? ,COGd,Cell location of gene productd,length of ORFe in bp,%GC of ORF,length of 5'UTRf in bp,%GC of 5'UTR,length of ORF+5'UTR in bp,%GC of ORF+5'UTR,CAI of ORF,Protein with signal peptided?
b1884,cheR,401.29,8183.39,18472.8,16989.03,6.75,2,1.9,1.56,Yes,6,3,No,[N] Cell motility,Cytoplasmic,861,0.54,NA,NA,NA,NA,0.35,No
b1885,tap,3908.88,30748.43,60236.37,56952.11,3.18,2.02,1.91,1.32,Yes,6,2,No,[N] Cell motility,Integral Membrane Protein,1602,0.54,NA,NA,NA,NA,0.35,No
b1886,tar,5545.2,37286.59,67819.96,67061.75,2.94,2.12,1.79,1.01,Yes,6,1,No,[N] Cell motility,Integral Membrane Protein,1662,0.53,408,0.51,2070,0.53,0.4,No
b1887,cheW,1767.6,18521.03,31520.16,38158.91,4.56,4.5,4.87,4.39,Yes,4,4,No,[N] Cell motility,Cytoplasmic,504,0.52,NA,NA,NA,NA,0.36,No
b1888,cheA,3323.55,27663.31,49468.05,52788.77,3.19,2.89,3.27,3.64,Yes,4,3,No,[N] Cell motility,Cytoplasmic,1965,0.53,NA,NA,NA,NA,0.36,No
b1889,motB,1345.27,15412.89,27518.76,28778.84,3.89,1.69,1.55,1.24,Yes,4,2,No,[N] Cell motility,Membrane Anchored,927,0.53,NA,NA,NA,NA,0.33,No
b1890,motA,2595.69,21427.48,35698.93,35046.18,3.12,1.59,1.29,1.05,Yes,4,1,No,[N] Cell motility,Integral Membrane Protein,888,0.51,NA,NA,NA,NA,0.37,No
b1891,flhC,11323.62,13377.65,15717.4,19807.14,1.87,1.6,1.32,1.12,Yes,2,2,No,NA,Cytoplasmic,579,0.49,NA,NA,NA,NA,0.38,No
b1892,flhD,9940.19,16036.37,11889.64,17761.9,1.85,1.52,1.39,1.11,Yes,2,1,No,NA,Cytoplasmic,351,0.46,198,0.38,549,0.44,0.36,No
b1905,ftnA,1247.46,1477.16,1405.99,3025.58,3.62,2.98,3.3,2.67,No,1,NA,No,[P] Inorganic ion transport and metabolism,Cytoplasmic,498,0.43,34,0.38,532,0.42,0.53,No
b1908,yecA,3257.9,3852.83,6050.16,8948.27,2.84,3.03,3.11,2.08,No,1,NA,No,[R] General function prediction only,Cytoplasmic,666,0.53,29,0.52,695,0.53,0.39,No
b1912,pgsA,1808.67,3048.7,4026.34,3578.79,3.12,2.23,1.84,2.16,No,1,NA,Yes,[I] Lipid transport and metabolism,Integral Membrane Protein,549,0.52,33,0.36,582,0.52,0.36,No
b1913,uvrC,669.52,1160.12,1963.29,2747.74,4.54,2.7,2.26,2,Yes,2,2,No,NA,Cytoplasmic,1833,0.52,170,0.46,2003,0.51,0.4,No
b1914,uvrY,4103.06,6175,8168.13,14837.39,2.33,1.68,1.43,1.22,Yes,2,1,No,[K] Transcription,Cytoplasmic,657,0.5,44,0.39,701,0.49,0.35,No
b1916,sdiA,381.96,680,727.04,1463.58,6.15,4.14,4.23,3.01,No,1,NA,No,[K] Transcription,Cytoplasmic,723,0.47,61,0.36,784,0.46,0.35,No
b1917,yecC,1166.79,1793.7,2881.73,2453.81,3.93,3.31,2.65,3.54,Yes,3,3,No,[E] Amino acid transport and metabolism,Cytoplasmic,753,0.54,439,0.55,1192,0.55,0.39,No
b1918,yecS,4347.58,6754.45,11390.17,9918.06,2.52,1.99,1.82,2.65,Yes,3,2,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,669,0.53,438,0.55,1107,0.54,0.36,No
b1919,dcyD,6004.35,7791.86,15425.73,15120.81,2.38,2.03,1.85,2.71,Yes,3,1,No,NA,Cytoplasmic,987,0.54,605,0.48,1592,0.52,0.37,No
b1920,fliY,12247.59,20246.03,26725.01,42106.47,2.31,2.96,2.28,2.65,Yes,3,3,No,[E] Amino acid transport and metabolism,Periplasmic,801,0.5,68,0.38,869,0.49,0.49,Yes
b1921,fliZ,23459.26,30172.61,41163.12,50103.03,1.86,2.48,2.33,2.12,Yes,3,2,No,NA,Cytoplasmic,552,0.47,167,0.47,719,0.47,0.35,No
b1922,fliA,18641.44,22421.85,25253.44,20897.53,1.7,1.74,1.52,1.46,Yes,3,1,No,NA,Cytoplasmic,720,0.54,207,0.49,927,0.53,0.33,No
b1924,fliD,12277.19,34482.81,62610.43,77660.53,1.98,1.63,1.36,1.14,Yes,3,1,No,[N] Cell motility,Cytoplasmic,1407,0.52,79,0.39,1486,0.52,0.4,No
b1925,fliS,10537.66,21409.29,39542.92,51401.78,1.97,1.65,1.39,1.11,Yes,3,2,No,[N] Cell motility,Cytoplasmic,411,0.5,NA,NA,NA,NA,0.32,No
b1926,fliT,4041.65,10322.31,17660.71,23047.72,2.39,1.61,1.44,1.11,Yes,3,3,No,NA,Cytoplasmic,366,0.52,NA,NA,NA,NA,0.38,No
b1927,amyA,3933.15,4217.85,6832.98,9104.24,2.82,2.79,3.09,2.51,No,1,NA,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1488,0.5,24,0.5,1512,0.5,0.41,No
b1928,yedD,3229.43,5279.84,6891.52,10518.55,2.66,2.33,1.91,2.77,No,1,NA,No,NA,Outer membrane Lipoprotein,414,0.57,24,0.42,438,0.56,0.43,No
b1929,yedE,9526.9,11058.17,16931.32,7722.57,2.71,2.04,1.76,3.04,Yes,2,1,No,[R] General function prediction only,Integral Membrane Protein,1206,0.55,37,0.41,1243,0.54,0.45,No
b1930,yedF,2238.15,2423.03,2778.71,1192.86,3.3,2.89,2.92,4.98,Yes,2,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,234,0.48,11,0.55,245,0.49,0.4,No
b1931,yedK,521.01,469.73,414.37,297.91,6.08,5.86,9.44,9.79,No,1,NA,No,NA,Cytoplasmic,669,0.52,19,0.42,688,0.52,0.36,No
b1938,fliF,7208.67,7102.09,7904.79,8533.41,2.09,1.67,1.48,1.49,Yes,6,1,No,[N] Cell motility,Integral Membrane Protein,1659,0.55,NA,NA,NA,NA,0.41,Yes
b1939,fliG,9428.08,10670.37,13438.25,14701.49,1.89,1.48,1.35,1.14,Yes,6,2,No,[N] Cell motility,Cytoplasmic,996,0.56,NA,NA,NA,NA,0.46,No
b1940,fliH,13204.99,11454.28,20888.4,20492.13,1.75,1.44,1.31,1.03,Yes,6,3,No,[N] Cell motility,Cytoplasmic,687,0.57,NA,NA,NA,NA,0.37,No
b1941,fliI,4726.31,5775.23,7366.62,6893.36,2.1,1.69,1.76,1.39,Yes,6,4,No,[N] Cell motility,Cytoplasmic,1374,0.59,NA,NA,NA,NA,0.37,No
b1942,fliJ,5117.41,5346.27,6642.24,7816.75,2.09,1.83,2.19,1.37,Yes,6,5,No,[N] Cell motility,Cytoplasmic,444,0.52,NA,NA,NA,NA,0.42,No
b1943,fliK,12476.16,11508.58,17270.73,19376.41,1.9,1.82,2.17,1.22,Yes,6,6,No,[N] Cell motility,Cytoplasmic,1128,0.55,NA,NA,NA,NA,0.37,No
b1944,fliL,16748.18,10409.61,19098.33,21799.7,1.73,1.92,2.12,1.23,Yes,7,1,No,[N] Cell motility,Outer membrane Lipoprotein,465,0.53,NA,NA,NA,NA,0.37,Yes
b1945,fliM,16949.04,15426.03,22475.03,25856.54,1.77,1.76,1.78,1.26,Yes,7,2,No,[N] Cell motility,Cytoplasmic,1005,0.53,NA,NA,NA,NA,0.42,No
b1946,fliN,13655.01,11715.61,18615.03,17446.44,1.86,1.88,1.87,1.43,Yes,7,3,No,[N] Cell motility,Cytoplasmic,414,0.55,NA,NA,NA,NA,0.43,No
b1947,fliO,8411.7,7448.92,12424.87,13982.49,2.03,1.97,1.86,1.59,Yes,7,4,No,NA,Membrane Anchored,366,0.55,NA,NA,NA,NA,0.35,No
b1948,fliP,911.3,1076.48,1902.23,1960.06,3.9,3.42,2.82,2.8,Yes,7,5,No,[N] Cell motility,Integral Membrane Protein,738,0.53,NA,NA,NA,NA,0.33,No
b1949,fliQ,2193.7,2422.69,4212.94,4337.6,2.86,2.49,2.18,2.05,Yes,7,6,No,[N] Cell motility,Integral Membrane Protein,270,0.5,439,0.52,709,0.52,0.3,No
b1950,fliR,697.97,551.62,685.26,912.19,4.56,4.94,5.2,3.94,Yes,7,7,No,[N] Cell motility,Integral Membrane Protein,786,0.47,NA,NA,NA,NA,0.34,No
b1952,dsrB,155.98,168.01,201.61,345.99,13.88,10.8,10.72,8.84,No,1,NA,No,NA,Cytoplasmic,189,0.51,18,0.56,207,0.52,0.42,No
b1955,yedP,691.14,308.76,343.48,477.96,4.78,6.53,9.28,7.01,No,1,NA,No,[R] General function prediction only,Cytoplasmic,816,0.52,464,0.45,1280,0.5,0.32,No
b1956,yedQ,431.83,583.23,587.93,694.36,5.89,4.47,4.74,4.42,No,1,NA,No,[T] Signal transduction mechanisms,Integral Membrane Protein,1695,0.51,NA,NA,NA,NA,0.35,No
b1957,yodC,472.68,503.58,973.93,926.32,5.7,4.63,3.48,3.71,No,1,NA,No,NA,Cytoplasmic,183,0.53,NA,NA,NA,NA,0.36,No
b1958,yedI,338.44,354.07,584.01,745.52,7.19,5.64,4.7,4.5,No,1,NA,No,[S] Function unknown,Integral Membrane Protein,918,0.53,24,0.33,942,0.53,0.31,No
b1959,yedA,615.91,599.55,861.84,860.18,5.36,4.61,3.47,4.02,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,921,0.54,NA,NA,NA,NA,0.31,No
b1960,vsr,178.33,256.93,448.08,615.05,12.06,6.98,5.56,4.63,Yes,2,2,No,"[L] Replication, recombination and repair",Cytoplasmic,471,0.56,NA,NA,NA,NA,0.36,No
b1961,dcm,913.63,1243.34,2068,3966.57,4.2,3.12,2.35,1.94,Yes,2,1,No,"[L] Replication, recombination and repair",Cytoplasmic,1419,0.52,23,0.48,1442,0.52,0.41,No
b1962,yedJ,389.86,469.34,1029.26,1533.54,6.38,4.83,3.23,2.7,Yes,2,2,No,[R] General function prediction only,Unknown,696,0.54,370,0.53,1066,0.54,0.39,No
b1970,hiuH,46.14,43.28,47.62,87.89,23.58,21.45,27.35,17.5,No,1,NA,No,[R] General function prediction only,Periplasmic,414,0.42,621,0.43,1035,0.42,0.28,Yes
b1971,yedY,510.82,356.48,449.87,464.94,5.52,5.9,6.09,6.11,Yes,2,1,No,[R] General function prediction only,Periplasmic,1005,0.52,NA,NA,NA,NA,0.38,Yes
b1972,yedZ,485.46,419.55,479.87,457.67,5.37,4.77,5.32,4.99,Yes,2,2,No,[S] Function unknown,Integral Membrane Protein,636,0.48,678,0.53,1314,0.51,0.29,No
b1976,mtfA,11448.06,8790.29,7823.85,6185.58,1.8,1.61,1.72,1.52,No,1,NA,No,[S] Function unknown,Cytoplasmic,798,0.46,47,0.49,845,0.46,0.32,No
b1978,yeeJ,135.71,193.59,269.1,329.31,14.68,9.61,9.6,7.56,No,1,NA,No,NA,Periplasmic,7104,0.5,177,0.39,7281,0.5,0.34,No
b1981,shiA,1089.76,1735.78,2955.62,4042.34,3.78,2.45,1.9,2.41,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1317,0.5,77,0.34,1394,0.49,0.3,No
b1982,amn,5388.67,5968.69,12019.48,17825.79,2.21,2.34,2.49,5.37,No,1,NA,No,[F] Nucleotide transport and metabolism,Cytoplasmic,1455,0.5,29,0.48,1484,0.5,0.34,No
b1983,yeeN,223.84,926,507.37,3604.77,8.82,3.76,6.25,2.61,No,1,NA,No,[S] Function unknown,Cytoplasmic,717,0.4,NA,NA,NA,NA,0.41,No
b1985,yeeO,234.26,264.39,314.18,328.48,9.26,8.2,8.28,6.61,No,1,NA,No,[V] Defense mechanisms,Integral Membrane Protein,1644,0.48,25,0.48,1669,0.48,0.24,No
b1987,cbl,807.41,1582.64,2008.52,3444.8,4.22,2.58,2.23,1.97,No,1,NA,No,[K] Transcription,Cytoplasmic,951,0.48,NA,NA,NA,NA,0.28,No
b1988,nac,113.62,163.34,174.84,545.27,14.53,9.69,13.84,5.67,No,1,NA,No,[K] Transcription,Cytoplasmic,918,0.48,674,0.45,1592,0.47,0.28,No
b1990,erfK,285.51,381.47,510.82,720.66,7.51,5.53,5.48,4.04,No,1,NA,No,[S] Function unknown,Periplasmic,933,0.5,30,0.47,963,0.5,0.32,Yes
b1991,cobT,1171.19,1732.08,2478.77,3450.24,3.25,2.45,2.23,1.83,Yes,3,3,No,[H] Coenzyme transport and metabolism,Unknown,1080,0.51,517,0.54,1597,0.52,0.3,No
b1992,cobS,1364.29,2297.27,3391.7,4210.29,3.31,2.3,1.89,1.76,Yes,3,2,No,[H] Coenzyme transport and metabolism,Integral Membrane Protein,744,0.53,NA,NA,NA,NA,0.32,No
b1993,cobU,380.71,768.58,696.03,866.4,6.42,3.6,4.09,3.8,Yes,3,1,No,[H] Coenzyme transport and metabolism,Cytoplasmic,546,0.51,232,0.41,778,0.48,0.31,No
b1994,insH_6,25437.66,36188.78,47195.28,41952.36,2.2,2.88,2.19,1.98,No,1,NA,No,"[L] Replication, recombination and repair",Unknown,1017,0.55,148,0.49,1165,0.54,0.37,No
b1999,yeeP,113.68,241.83,187.04,184.53,13.83,8.18,10.16,10.55,No,1,NA,No,[R] General function prediction only,Cytoplasmic,426,0.6,479,0.47,905,0.53,0.34,No
b2002,yeeS,339.93,608,730.28,452.73,8.82,9.29,7.42,9.45,Yes,6,2,No,"[L] Replication, recombination and repair",Cytoplasmic,447,0.58,553,0.5,1000,0.54,0.39,No
b2003,yeeT,159,177.49,270.78,228.09,11.51,10.06,9.05,17.6,Yes,6,3,No,NA,Cytoplasmic,222,0.53,NA,NA,NA,NA,0.5,No
b2007,yeeX,3800.8,6112.03,8565.98,7990.69,3.29,3.24,2.73,2.12,No,1,NA,No,NA,Cytoplasmic,330,0.48,148,0.43,478,0.46,0.67,No
b2008,yeeA,1392.56,1356.47,1445.1,1645.4,4.04,3.54,3.52,3.17,No,1,NA,No,[S] Function unknown,Integral Membrane Protein,1059,0.51,318,0.47,1377,0.5,0.34,No
b2009,sbmC,3577.58,2624.29,2948.33,3973.72,3.24,3.57,3.37,2.26,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,474,0.47,571,0.48,1045,0.48,0.4,No
b2010,dacD,50.84,87.84,104.52,134.21,23.17,12.16,13.58,12.48,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Periplasmic,1167,0.49,590,0.47,1757,0.48,0.37,Yes
b2011,sbcB,597.65,1026.74,1504.67,2290.22,5.05,3.16,2.61,2.25,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,1428,0.5,NA,NA,NA,NA,0.39,No
b2012,yeeD,3681.51,4499.12,7342.51,7656.61,2.35,1.88,1.58,1.53,Yes,2,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,228,0.5,172,0.51,400,0.51,0.45,No
b2013,yeeE,4254.97,7195.29,10342.31,13553.38,2.21,1.64,1.32,1.26,Yes,2,1,No,[R] General function prediction only,Integral Membrane Protein,1059,0.5,27,0.19,1086,0.5,0.3,No
b2014,yeeF,2569.23,5933.83,12259.57,16278.73,3.06,1.74,1.27,1.7,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1359,0.53,49,0.47,1408,0.52,0.57,No
b2015,yeeY,236.96,265.01,313.91,488.4,8.9,6.94,7.62,6.16,No,1,NA,No,NA,Cytoplasmic,930,0.5,231,0.54,1161,0.51,0.33,No
b2016,yeeZ,4068.44,5638.07,8799.18,12754.9,2.33,1.72,1.42,1.44,No,1,NA,No,[G] Carbohydrate transport and metabolism,Periplasmic,825,0.52,35,0.43,860,0.52,0.31,No
b2017,yefM,1038.06,1807.51,1255.7,2638.61,3.81,2.46,2.95,2.14,Yes,2,1,Yes,"[D] Cell cycle control, cell division, chromosome partitioning",Cytoplasmic,252,0.48,20,0.4,272,0.48,0.32,No
b2019,hisG,9245.08,11908.55,18163.05,22367.98,1.99,2.06,1.69,1.58,Yes,9,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,900,0.54,144,0.48,1044,0.53,0.53,No
b2020,hisD,13371.42,15426.06,24295.27,27017.98,1.98,2.42,2.18,2.05,Yes,9,3,No,[E] Amino acid transport and metabolism,Cytoplasmic,1305,0.58,241,0.56,1546,0.58,0.46,No
b2021,hisC,11452.07,9905.54,20162.07,25130.39,2.06,2.79,2.68,3,Yes,9,4,No,[E] Amino acid transport and metabolism,Cytoplasmic,1071,0.55,NA,NA,NA,NA,0.44,No
b2022,hisB,13318.73,14868.99,27369.08,34829.55,2.06,2.73,2.8,3.89,Yes,9,5,No,[E] Amino acid transport and metabolism,Cytoplasmic,1068,0.53,104,0.53,1172,0.53,0.49,No
b2023,hisH,7926.06,9881.02,16673.92,19348.03,2.18,2.81,2.88,3.88,Yes,9,6,No,[E] Amino acid transport and metabolism,Cytoplasmic,591,0.57,NA,NA,NA,NA,0.5,No
b2026,hisI,4182.99,6534.95,10559.33,14210.95,2.77,3.7,3.88,4.51,Yes,9,9,No,[E] Amino acid transport and metabolism,Cytoplasmic,612,0.55,NA,NA,NA,NA,0.44,No
b2027,cld,3296.76,7387.23,6505.99,15925.6,2.6,1.67,1.52,1.27,No,1,NA,No,NA,Integral Membrane Protein,981,0.46,30,0.4,1011,0.46,0.37,No
b2039,rfbA,1292.98,5477.88,2750.78,12713.16,3.26,1.86,2.95,1.56,Yes,5,3,No,[M] Cell wall/membrane/envelope biogenesis,Unknown,882,0.43,276,0.45,1158,0.43,0.37,No
b2040,rfbD,1824.69,4901.38,4470.48,14500.02,2.9,1.73,1.91,1.45,Yes,5,2,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,900,0.47,50,0.5,950,0.47,0.35,No
b2041,rfbB,1645.99,5458.49,3754.63,12716.5,3.02,1.61,1.79,1.4,Yes,5,1,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,1086,0.44,317,0.41,1403,0.43,0.4,No
b2042,galF,4300.91,7726.4,8170.46,15491.01,2.53,1.83,1.63,1.68,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Periplasmic,894,0.52,24,0.33,918,0.51,0.45,No
b2045,wcaK,108.21,168.54,324.81,285.41,18.68,11.65,7.93,19.83,Yes,3,1,No,[S] Function unknown,Cytoplasmic,1281,0.54,NA,NA,NA,NA,0.42,No
b2050,wcaI,46.79,113.1,150.88,181.04,38.58,19.4,15.29,18.62,Yes,12,8,No,[M] Cell wall/membrane/envelope biogenesis,Unknown,1224,0.56,NA,NA,NA,NA,0.41,No
b2051,gmm,36.61,95.3,174.12,142.89,40.2,17.19,12.39,16.22,Yes,12,7,No,"[L] Replication, recombination and repair",Cytoplasmic,480,0.55,NA,NA,NA,NA,0.35,No
b2052,fcl,119.53,272.9,546.71,424.13,19.15,9.83,6.26,8.01,Yes,12,6,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,966,0.56,NA,NA,NA,NA,0.43,No
b2053,gmd,113.45,300.12,523.74,492.44,17.2,9.33,7.28,8.73,Yes,12,5,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,1122,0.55,NA,NA,NA,NA,0.57,No
b2057,wcaC,71.8,199.49,373.36,331.88,21.48,10.75,7.73,8.34,Yes,12,1,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,1218,0.54,NA,NA,NA,NA,0.44,No
b2058,wcaB,81.88,161.81,186.03,181.48,18.59,13.56,13.9,13.92,Yes,5,5,No,[E] Amino acid transport and metabolism,Cytoplasmic,489,0.54,588,0.51,1077,0.53,0.44,No
b2059,wcaA,99.56,194.33,273.87,261.16,16.41,13.1,12.84,12.79,Yes,5,4,No,[M] Cell wall/membrane/envelope biogenesis,Cytoplasmic,840,0.52,NA,NA,NA,NA,0.48,No
b2060,wzc,50.76,86.18,131.97,130.83,31.62,16.09,14.08,16.79,Yes,5,3,No,"[D] Cell cycle control, cell division, chromosome partitioning",Integral Membrane Protein,2163,0.53,NA,NA,NA,NA,0.47,No
b2063,yegH,1173.71,2234.53,4265.19,4636.8,3.57,2.33,1.69,1.81,No,1,NA,No,NA,Integral Membrane Protein,1584,0.53,39,0.33,1623,0.53,0.38,No
b2064,asmA,635.96,1099.11,1098.27,1282.08,4.85,2.88,3.04,2.87,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Membrane Anchored,1854,0.53,583,0.6,2437,0.54,0.33,No
b2065,dcd,4883.18,7427.41,11090.51,10174.92,2.32,1.68,1.48,1.46,Yes,2,2,No,[F] Nucleotide transport and metabolism,Cytoplasmic,582,0.6,380,0.47,962,0.55,0.43,No
b2066,udk,734.8,1369.94,2352.13,3081.76,4.6,2.65,2.1,2.09,Yes,2,1,No,[F] Nucleotide transport and metabolism,Cytoplasmic,642,0.49,56,0.5,698,0.49,0.43,No
b2067,yegE,314.69,437.68,504.25,551.64,6.33,4.45,4.94,4.42,No,1,NA,No,[T] Signal transduction mechanisms,Integral Membrane Protein,3318,0.52,42,0.5,3360,0.52,0.33,No
b2068,alkA,415.24,466.28,479.56,600.21,6,5.29,4.61,5.25,No,1,NA,No,"[L] Replication, recombination and repair",Cytoplasmic,849,0.56,19,0.47,868,0.55,0.33,No
b2069,yegD,191.62,435.64,621.15,697.02,10.15,4.83,4.02,5.68,No,1,NA,No,NA,Cytoplasmic,1353,0.56,NA,NA,NA,NA,0.47,No
b2070,yegI,189.03,222.16,304.26,262.46,10.58,8.05,7.19,8.23,No,1,NA,No,[R] General function prediction only,Unknown,1947,0.51,NA,NA,NA,NA,0.34,No
b2074,mdtA,181.27,304.66,451.69,469.65,12.12,7.24,5.78,6.18,Yes,6,1,No,[M] Cell wall/membrane/envelope biogenesis,Membrane Anchored,1248,0.55,646,0.48,1894,0.53,0.43,No
b2075,mdtB,205.56,429.91,633.16,655.74,7.98,4.69,4.47,4.32,Yes,6,2,No,[V] Defense mechanisms,Integral Membrane Protein,3123,0.57,350,0.55,3473,0.56,0.41,No
b2076,mdtC,104.48,230.27,293.76,321.51,15.3,8.98,9.52,8.69,Yes,6,3,No,[V] Defense mechanisms,Integral Membrane Protein,3078,0.56,NA,NA,NA,NA,0.36,No
b2077,mdtD,145.42,201.92,253.25,265.98,11.64,9.93,12.21,9.02,Yes,6,4,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1416,0.56,NA,NA,NA,NA,0.33,No
b2079,baeR,1564.69,1929.15,3132.55,3816.83,3.27,2.84,2.3,2.37,Yes,6,6,No,[K] Transcription,Cytoplasmic,723,0.54,30,0.5,753,0.54,0.46,No
b2081,yegQ,2933.37,6361.4,7471.58,10957,2.94,1.78,1.56,1.8,No,1,NA,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,1362,0.54,75,0.52,1437,0.54,0.52,No
b2082,ogrK,87.1,134.39,125.16,172.18,24.34,14.47,17.93,16.03,No,1,NA,No,NA,Cytoplasmic,219,0.51,28,0.54,247,0.51,0.33,No
b2083,yegZ,143.53,251.43,191.39,252.11,14.09,8.88,14.02,10.34,Yes,2,2,No,[R] General function prediction only,Cytoplasmic,NA,NA,NA,NA,NA,NA,NA,No
b2086,yegS,655.04,454.94,387.33,523.79,5.05,5.38,7.06,6.28,No,1,NA,No,[I] Lipid transport and metabolism,Cytoplasmic,900,0.5,27,0.41,927,0.49,0.31,No
b2094,gatA,38139.87,47887.54,64099.89,66864.97,2.2,4.2,3.5,6.06,Yes,6,3,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,453,0.43,213,0.45,666,0.43,0.3,No
b2095,gatZ,47096.36,67129.85,85160.28,86745.88,2.49,4.65,3.62,6.81,Yes,6,2,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1263,0.49,167,0.53,1430,0.49,0.37,No
b2096,gatY,50323.39,65794.54,79560.01,71464.56,1.58,1.71,1.48,1.51,Yes,6,1,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,855,0.53,345,0.43,1200,0.5,0.35,No
b2098,yegT,596.03,608.54,867.35,518.51,5.22,5.4,4.17,6.61,Yes,3,1,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1278,0.5,558,0.46,1836,0.49,0.42,No
b2099,yegU,271.61,381.67,607.11,406.19,8.2,6.07,5.06,7.53,Yes,3,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,1005,0.56,NA,NA,NA,NA,0.41,No
b2100,yegV,663.44,821.56,1531.89,1009.14,4.91,4.46,3.56,4.25,Yes,3,3,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,966,0.57,NA,NA,NA,NA,0.35,No
b2101,yegW,591.71,714.43,1095.88,1383.19,5.24,4.05,3.13,3.28,No,1,NA,No,[K] Transcription,Cytoplasmic,747,0.51,24,0.54,771,0.51,0.33,No
b2102,yegX,366.06,718.56,656.01,1231.49,7.13,4.77,4.84,3.63,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Membrane Anchored,819,0.48,485,0.56,1304,0.51,0.32,No
b2103,thiD,250.14,348.37,475.64,543.97,9.44,7.79,7.45,7.31,Yes,2,2,No,[H] Coenzyme transport and metabolism,Cytoplasmic,801,0.55,NA,NA,NA,NA,0.36,No
b2104,thiM,190.03,236.35,312.06,389.76,10.07,7.29,6.64,6.35,Yes,2,1,No,[H] Coenzyme transport and metabolism,Cytoplasmic,789,0.54,150,0.52,939,0.54,0.33,No
b2105,rcnR,108.76,170.57,183.58,253.34,16.07,10.08,9.93,8.43,No,1,NA,No,[S] Function unknown,Cytoplasmic,273,0.48,23,0.43,296,0.48,0.48,No
b2106,rcnA,166.97,378.58,334.51,350.15,12.64,6.58,7.61,8.23,Yes,2,1,No,[R] General function prediction only,Integral Membrane Protein,825,0.52,48,0.38,873,0.51,0.34,No
b2112,yehE,172.1,144.58,126.16,196.79,10.34,9.61,14.82,9.84,No,1,NA,No,NA,Periplasmic,282,0.44,NA,NA,NA,NA,0.27,No
b2113,mrp,3779.09,5618.23,9971.39,11814.2,2.48,2.14,1.82,2.41,No,1,NA,No,NA,Cytoplasmic,1110,0.54,31,0.39,1141,0.54,0.44,No
b2114,metG,5520,10863.47,15881.39,19216.01,2.11,1.51,1.29,1.49,No,1,NA,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,2034,0.53,31,0.35,2065,0.53,0.6,No
b2118,yehI,70.18,143.18,183.12,203.33,23.62,11.54,10.6,10.83,Yes,2,NA,No,NA,Cytoplasmic,3633,0.51,NA,NA,NA,NA,0.33,No
b2121,yehP,78.22,101.92,191.95,166.49,19.48,15.94,12.1,13.7,Yes,4,3,No,NA,Cytoplasmic,1137,0.54,NA,NA,NA,NA,0.33,No
b2124,yehS,355.16,702.47,616.55,1038.84,6.68,4.04,4.6,3.22,No,1,NA,No,[S] Function unknown,Cytoplasmic,471,0.49,526,0.49,997,0.49,0.45,No
b2125,yehT,1076.3,2048.75,1657.94,2337.96,3.82,2.42,2.89,2.22,Yes,2,2,No,NA,Cytoplasmic,720,0.49,NA,NA,NA,NA,0.37,No
b2126,yehU,881.18,1406.21,1060.32,995.26,4.04,2.99,3.67,3.73,Yes,2,1,No,[T] Signal transduction mechanisms,Integral Membrane Protein,1686,0.51,471,0.48,2157,0.5,0.31,No
